/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core MD95-2011 using alkenones. doi:10.1594/PANGAEA.737250, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 66.969660 * LONGITUDE: 7.639330
	MINIMUM AGE: 0.514 ka BP * MAXIMUM AGE: 8.494 ka BP
Event(s):	MD95-2011 (MD952011) * LATITUDE: 66.969660 * LONGITUDE: 7.639330 * DATE/TIME: 1995-06-08T00:00:00 * ELEVATION: -1048.0 m * RECOVERY: 17.00 m * LOCATION: Voring Plateau * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * DEVICE: Calypso Corer (CALYPSO) * COMMENT: XII Sections, Site location wrong, slumps. Bent core; liner imploded in the middle of the core; 30 cm of sediment of the top recovered in a 1/2 liner
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy alkenones (URL: hdl:10013/epic.35232.d001) * METHOD: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	126 data points
*/
Age [ka BP]	SST [¡C]
0.514	11.1
0.521	11.0
0.533	11.3
0.540	11.2
0.551	11.2
0.558	11.2
0.570	10.9
0.577	11.1
0.595	11.2
0.607	11.1
0.614	11.1
0.633	11.2
0.644	11.1
0.651	11.4
0.663	11.3
0.670	11.6
0.681	10.9
0.685	11.5
0.728	10.7
0.754	11.6
0.793	11.2
0.832	11.0
0.870	10.9
0.922	10.9
0.948	11.1
1.032	11.1
1.050	11.5
1.078	11.3
1.123	10.7
1.141	10.6
1.171	10.8
1.195	11.0
1.231	10.8
1.255	10.9
1.292	10.9
1.316	11.0
1.352	11.1
1.376	11.2
1.412	11.1
1.424	11.1
1.496	11.1
1.532	11.0
1.593	10.9
1.617	11.0
1.665	11.2
1.713	11.0
1.749	11.2
1.785	11.0
1.834	11.0
1.858	11.3
1.894	10.9
1.942	11.0
2.011	11.3
2.080	11.4
2.126	11.4
2.194	11.5
2.240	11.2
2.309	10.6
2.338	11.1
2.412	10.9
2.456	10.9
2.485	11.2
2.529	10.9
2.588	10.8
2.647	11.4
2.691	11.4
2.750	11.7
2.823	12.0
2.896	11.8
2.970	11.9
3.043	11.9
3.117	11.6
3.190	11.9
3.264	11.7
3.337	11.4
3.411	11.8
3.484	11.8
3.557	11.6
3.631	11.7
3.704	12.2
3.776	11.9
3.842	12.3
3.908	12.0
3.974	11.8
4.039	12.2
4.105	11.8
4.237	12.0
4.289	11.9
4.368	11.9
4.597	11.8
4.760	11.8
4.842	12.0
4.923	12.0
5.005	11.9
5.087	12.2
5.168	12.1
5.331	11.8
5.413	11.8
5.494	11.7
5.576	11.8
5.658	12.0
5.739	12.2
5.821	12.9
5.902	12.3
6.017	12.8
6.066	12.6
6.310	12.9
6.555	12.5
6.718	12.7
6.800	12.7
6.881	12.8
6.963	12.7
7.044	12.7
7.126	12.8
7.208	12.7
7.289	12.3
7.371	12.1
7.452	12.2
7.534	12.2
7.615	12.1
7.697	12.2
7.963	12.1
8.095	12.4
8.228	13.0
8.361	13.0
8.494	12.7
