/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core MD95-2043 using alkenones. doi:10.1594/PANGAEA.737253, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 36.143333 * LONGITUDE: -2.621167
	MINIMUM AGE: 1.008 ka BP * MAXIMUM AGE: 10.476 ka BP
Event(s):	MD95-2043 (MD952043) * LATITUDE: 36.143333 * LONGITUDE: -2.621167 * DATE/TIME: 1995-07-09T00:00:00 * ELEVATION: -1841.0 m * RECOVERY: 37.00 m * LOCATION: Alboran Sea * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXV Sections, OK; liner exploded in section VIII
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy alkenones (URL: hdl:10013/epic.35232.d001) * METHOD: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	82 data points
*/
Age [ka BP]	SST [¡C]
1.008	18.8
1.082	18.3
1.156	18.3
1.379	17.9
1.527	18.0
1.750	18.4
1.898	19.0
2.121	18.4
2.269	18.6
2.492	18.3
2.640	18.5
2.863	18.3
3.011	18.7
3.209	18.2
3.341	19.1
3.407	18.5
3.539	18.6
3.671	19.0
3.868	18.9
4.000	19.0
4.198	18.7
4.330	19.0
4.475	19.0
4.554	18.8
4.673	19.3
4.752	19.6
4.871	18.5
4.950	18.6
5.069	18.8
5.148	18.8
5.266	18.3
5.464	18.3
5.543	18.2
5.662	18.7
5.741	18.4
5.860	18.8
5.939	19.6
6.064	19.2
6.156	19.4
6.295	19.4
6.387	19.5
6.525	19.5
6.617	19.4
6.756	19.1
6.848	18.8
6.986	18.8
7.078	19.4
7.217	19.7
7.309	19.2
7.454	19.3
7.559	19.5
7.716	18.9
7.821	18.8
7.979	18.8
8.084	19.0
8.241	18.0
8.346	18.9
8.504	18.2
8.609	18.5
8.766	18.5
8.871	18.8
9.010	19.1
9.078	19.6
9.180	18.9
9.248	19.6
9.350	19.1
9.419	19.8
9.521	19.1
9.555	19.6
9.589	19.2
9.691	19.1
9.759	19.9
9.855	19.4
9.912	19.8
9.996	19.0
10.053	18.7
10.138	18.3
10.194	18.2
10.279	18.2
10.335	19.2
10.420	18.6
10.476	19.1
