/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core GeoB5901-2 using alkenones. doi:10.1594/PANGAEA.737216, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 36.380000 * LONGITUDE: -7.071330
	MINIMUM AGE: 1.134 ka BP * MAXIMUM AGE: 9.921 ka BP
Event(s):	GeoB5901-2 * LATITUDE: 36.380000 * LONGITUDE: -7.071330 * DATE/TIME: 1999-05-20T03:21:00 * ELEVATION: -574.0 m * RECOVERY: 3.26 m * CAMPAIGN: M45/1 (URI: doi:10.3289/cr_m45) * BASIS: Meteor (1986) (URI: http://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * DEVICE: Gravity corer (Kiel type) (SL)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy alkenones (URL: hdl:10013/epic.35232.d001) * METHOD: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	268 data points
*/
Age [ka BP]	SST [¡C]
1.134	18.9
1.293	19.0
1.451	19.1
1.610	19.2
1.768	19.3
1.927	19.3
2.085	19.4
2.244	19.4
2.561	19.4
2.719	19.5
2.878	19.5
3.036	19.3
3.195	19.4
3.353	19.5
3.512	19.3
3.660	19.4
3.797	19.5
3.934	19.4
4.071	19.4
4.209	19.4
4.346	19.3
4.483	18.9
4.620	19.1
4.749	19.2
4.869	19.3
4.989	19.3
5.108	19.2
5.228	19.3
5.348	19.5
5.426	19.6
5.461	19.6
5.496	19.6
5.531	19.5
5.566	19.7
5.601	19.7
5.636	19.6
5.672	19.7
5.707	19.7
5.742	19.7
5.777	19.9
5.812	20.0
5.847	19.9
5.883	19.9
5.918	19.9
5.953	19.8
5.988	20.1
6.023	20.1
6.058	20.2
6.093	20.1
6.129	20.0
6.164	19.9
6.199	20.0
6.234	19.8
6.269	19.8
6.304	19.9
6.339	19.8
6.375	19.8
6.410	19.8
6.445	19.7
6.480	19.9
6.515	19.9
6.550	19.9
6.586	19.8
6.621	20.0
6.656	19.9
6.691	19.9
6.726	19.8
6.761	19.8
6.796	19.8
6.832	19.8
6.867	19.6
6.902	19.7
6.937	19.8
6.972	19.9
7.007	19.8
7.042	19.8
7.078	19.8
7.113	19.7
7.148	19.5
7.183	19.6
7.218	19.7
7.253	19.7
7.289	19.7
7.324	19.8
7.359	19.8
7.394	19.7
7.429	19.8
7.464	19.8
7.499	19.8
7.524	19.8
7.552	19.8
7.566	19.8
7.580	19.8
7.594	19.8
7.608	19.7
7.623	19.8
7.637	19.8
7.651	19.8
7.665	19.8
7.679	19.7
7.693	19.8
7.707	19.7
7.721	19.8
7.735	19.6
7.749	19.6
7.763	19.8
7.777	19.6
7.791	19.9
7.805	19.6
7.819	19.7
7.834	19.9
7.848	20.0
7.862	20.0
7.876	19.8
7.890	20.0
7.904	19.6
7.918	19.6
7.932	19.4
7.955	19.7
7.986	19.8
8.018	19.8
8.049	20.0
8.080	20.0
8.112	19.9
8.143	20.0
8.175	19.9
8.206	20.1
8.237	20.0
8.269	20.1
8.300	20.1
8.332	20.1
8.363	20.1
8.394	20.2
8.426	19.7
8.457	19.9
8.489	19.9
8.520	19.9
8.551	19.8
8.583	19.9
8.614	20.1
8.646	20.0
8.677	20.1
8.708	20.2
8.740	20.3
8.771	20.2
8.803	20.1
8.834	20.1
8.865	20.1
8.883	20.0
8.887	20.1
8.891	20.1
8.895	20.0
8.899	20.0
8.903	20.0
8.907	19.8
8.911	20.0
8.914	20.0
8.918	20.0
8.922	20.0
8.926	20.1
8.930	20.1
8.934	20.1
8.938	19.9
8.942	19.9
8.946	19.9
8.950	20.0
8.954	20.0
8.958	19.8
8.962	19.8
8.966	20.0
8.970	20.1
8.973	20.1
8.977	20.0
8.981	20.0
8.985	20.1
8.989	20.2
8.993	20.1
8.997	20.2
9.003	20.2
9.010	19.9
9.017	20.0
9.024	20.1
9.031	20.1
9.038	20.0
9.045	20.1
9.052	20.1
9.059	20.1
9.066	20.1
9.073	20.1
9.080	20.1
9.087	19.9
9.094	20.0
9.101	20.1
9.108	20.2
9.115	20.1
9.122	20.2
9.129	20.1
9.136	20.0
9.144	20.2
9.151	20.1
9.158	20.4
9.165	20.2
9.172	20.2
9.179	20.2
9.186	20.4
9.193	20.0
9.200	20.2
9.207	20.0
9.214	20.0
9.221	20.0
9.228	19.9
9.235	20.0
9.242	20.0
9.249	20.2
9.256	20.2
9.263	20.2
9.270	20.2
9.277	20.2
9.285	20.1
9.292	20.2
9.299	20.2
9.306	20.2
9.313	20.1
9.320	20.3
9.327	20.3
9.334	20.4
9.341	20.3
9.348	20.3
9.355	19.9
9.362	20.2
9.369	20.2
9.376	20.2
9.383	20.2
9.390	20.2
9.397	20.2
9.404	20.3
9.411	20.3
9.418	20.2
9.430	20.0
9.447	19.9
9.464	19.8
9.481	20.2
9.498	20.1
9.515	20.3
9.532	20.2
9.549	20.3
9.566	20.3
9.583	20.3
9.599	20.2
9.616	20.3
9.633	20.1
9.650	19.9
9.667	20.4
9.684	19.8
9.701	19.8
9.718	19.7
9.735	20.0
9.752	19.9
9.768	19.9
9.785	20.2
9.802	20.2
9.819	20.2
9.836	20.0
9.853	20.2
9.870	20.1
9.887	20.2
9.904	20.1
9.921	20.2
