/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core MD99-2251 using Mg/Ca-ratios. doi:10.1594/PANGAEA.737004, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 57.447833 * LONGITUDE: -27.907833
	MINIMUM AGE: 0.560 ka BP * MAXIMUM AGE: 10.470 ka BP
Event(s):	MD99-2251 * LATITUDE: 57.447833 * LONGITUDE: -27.907833 * DATE/TIME: 1999-08-01T00:00:00 * ELEVATION: -2620.0 m * RECOVERY: 36.58 m * LOCATION: Rockall * CAMPAIGN: MD114 (IMAGES V) (URI: hdl:10013/epic.42867.d001) * BASIS: Marion Dufresne (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * DEVICE: Calypso Corer (CALYPSO)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy Mg/Ca (URL: hdl:10013/epic.35231.d001) * METHOD: SST from Mg/Ca ratios
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	229 data points
*/
Age [ka BP]	SST [¡C]
0.560	12.02
0.630	12.94
0.700	11.25
0.700	10.87
0.770	12.52
0.840	9.07
0.910	13.18
0.910	13.02
0.980	12.58
1.050	12.33
1.120	11.08
1.120	11.49
1.160	11.40
1.160	12.38
1.170	11.33
1.170	11.21
1.170	11.38
1.170	11.37
1.190	12.57
1.260	11.81
1.330	10.44
1.390	11.38
1.470	9.77
1.470	10.23
1.540	12.16
1.610	12.76
1.680	11.77
1.740	12.05
1.820	11.39
1.880	11.20
1.960	10.23
1.960	11.84
2.020	11.34
2.020	11.14
2.170	12.43
2.240	12.91
2.310	12.02
2.380	11.20
2.440	10.80
2.440	9.40
2.520	10.92
2.590	11.72
2.650	12.10
2.730	12.12
2.800	11.88
2.860	12.25
2.930	11.26
3.010	12.07
3.080	12.45
3.140	13.14
3.140	12.41
3.230	11.87
3.290	11.54
3.360	11.56
3.420	10.97
3.500	11.07
3.570	10.89
3.630	9.84
3.700	10.68
3.780	10.83
3.850	9.23
3.850	7.70
3.850	9.28
3.920	9.36
3.920	7.96
3.990	11.07
4.050	11.59
4.120	10.68
4.200	9.08
4.200	10.02
4.200	9.76
4.270	11.35
4.270	8.64
4.340	11.11
4.400	11.07
4.480	10.09
4.500	11.09
4.500	10.57
4.500	9.21
4.500	9.98
4.520	9.92
4.520	9.52
4.520	9.13
4.520	9.19
4.540	10.14
4.610	10.42
4.680	10.89
4.680	9.73
4.680	9.35
4.750	9.22
4.750	9.34
4.820	10.51
4.890	10.23
4.960	10.57
5.030	10.23
5.100	10.66
5.170	11.32
5.250	9.69
5.320	9.79
5.390	9.96
5.460	10.87
5.460	10.45
5.530	8.06
5.530	7.96
5.590	10.60
5.590	9.49
5.670	10.46
5.670	9.44
5.730	11.77
5.800	12.13
5.870	10.75
5.940	10.11
6.010	11.52
6.080	10.18
6.150	10.62
6.220	10.71
6.300	10.12
6.370	10.34
6.440	8.65
6.510	9.75
6.580	10.29
6.650	9.20
6.720	10.11
6.860	9.06
6.930	9.65
7.000	10.15
7.070	9.99
7.140	9.49
7.200	10.92
7.280	10.26
7.350	9.79
7.430	9.51
7.500	10.77
7.560	12.09
7.630	10.52
7.650	9.14
7.670	9.44
7.690	9.91
7.710	11.45
7.730	11.03
7.750	9.43
7.770	9.81
7.800	10.93
7.820	11.68
7.840	10.90
7.860	10.80
7.880	11.08
7.900	12.16
7.920	10.59
7.940	11.16
7.960	9.85
7.980	9.95
8.000	10.87
8.020	10.46
8.040	11.65
8.060	10.48
8.100	10.44
8.120	10.65
8.140	8.99
8.160	10.31
8.180	10.09
8.200	8.99
8.210	10.84
8.230	10.18
8.250	9.85
8.270	10.76
8.270	10.64
8.290	9.86
8.290	9.66
8.310	9.82
8.310	9.80
8.330	11.33
8.330	11.09
8.350	10.45
8.370	9.85
8.400	12.16
8.420	11.93
8.440	11.25
8.460	11.11
8.460	10.98
8.480	11.56
8.500	11.60
8.520	11.29
8.540	11.66
8.560	10.06
8.580	10.66
8.600	11.14
8.620	9.45
8.660	9.99
8.680	10.56
8.700	10.07
8.700	10.75
8.720	10.88
8.740	10.74
8.760	10.84
8.780	11.66
8.800	10.75
8.820	10.41
8.840	9.97
8.870	10.13
8.890	11.44
8.910	9.60
8.930	8.89
8.960	10.09
8.970	10.31
9.030	11.03
9.090	10.61
9.170	10.67
9.240	11.87
9.300	11.26
9.380	11.01
9.450	10.95
9.520	10.20
9.590	10.12
9.660	11.42
9.720	10.47
9.800	9.65
9.870	10.10
9.940	9.32
10.010	9.94
10.080	8.41
10.150	10.95
10.220	10.76
10.280	9.65
10.380	8.05
10.420	8.76
10.470	9.48
10.470	9.38
10.470	9.17
