# NOAA Paleoclimatology Program - Paleocean Site Data
# tr163-19-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             David W. Lea
# Core/Site:      TR163-19
# Latitude:       2.15.18N	( 2.255)
# Longitude:      90.57.04W	( -90.95111)
# Water Depth(m): 2348
#
# Publications:
#   Lea, D.W., D.K. Pak, and H.J. Spero. 2000. Climate impact of late Quaternary
#     equatorial Pacific sea surface temperature variations. Science
#     289(5485):1719-1724.
#------------------
#
# Description & Notes:
#   Equatorial Pacific sea surface temperatures during the late Quaternary.
#   Data precision: O18, ±0.06; Mg/Ca, ±2.1%; SST (est.), ±0.6°C; O18w (est.), ±0.18
#   Mg/Ca data on cleaned G. ruber shells by ICP-MS, SST estimates based on calibration
#   in Lea et al., 2000, O18w calculated from O18ruber measurements, Mg/Ca-temperature
#   estimates and Orbulina low light paleotemperature equations
#   (Bemis et al., 1998).
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Og.rub     delta O18 PDB (Globigerinoides ruber)
#             d18Osmow      delta O18 SMOW
#             Mg/Ca         Magnesium/Calcium ratio
#             sst           Sea Surface Temperature (C)
#
# CORE: TR163-19
depth	yrBP 	d18Og.rub	d18Osmow	Mg/Ca	sst	
544	178000	-1.21	0.79	2.75	24.8	
549	180000	-0.97	0.73	2.42	23.4	
554	182000	-1.01	0.83	2.58	24.1	
559	183500	-0.99	0.62	2.33	22.9	
564	185000	-1.24	0.67	2.65	24.4	
569	186500	-1.21	0.51	2.44	23.4	
574	188000	-1.61	0.26	2.61	24.2	
579	192000	-1.65	0.19	2.57	24	
584	196000	-2.07	0.09	2.94	25.6	
589	197800	-1.82	0.21	2.78	24.9	
594	199600	-1.76	0.51	3.09	26.1	
599	201400	-1.29	0.72	2.77	24.9	
604	203200	-1.54	0.35	2.63	24.3	
609	205000	-1.02	0.85	2.6	24.2	
614	208700	-1.48	0.51	2.74	24.8	
619	212300	-1.54	0.47	2.77	24.9	
624	216000	-2.03	0.19	3.02	25.8	
629	217500	-1.7	0.59	3.12	26.2	
634	219000	-1.69	0.65	3.18	26.4	
639	220500	-1.35	0.87	3.03	25.9	
644	222000	-1.47	0.58	2.82	25.1	
649	223500	-1.04	0.77	2.53	23.9	
654	225000	-0.77	1.02	2.52	23.8	
659	226500	-1.28	0.4	2.4	23.3	
664	228000	-0.93	1.12	2.82	25.1	
669	230500	-1.07	0.81	2.62	24.2	
674	233000	-0.79	1.14	2.67	24.5	
679	235500	-1.92	0.08	2.75	24.8	
684	238000	-2.2	0.1	3.14	26.3	
689	240000	-2.04	0.29	3.17	26.4	
694	242000	-1.6	0.86	3.35	27	
699	244000	-1.13	1.45	3.52	27.6	
704	245300	-1.14	1.22	3.22	26.6	
709	246000	-0.66	1.45	2.88	25.3	
714	246700	-0.58	1.4	2.72	24.7	
719	247300	-0.83	1.08	2.65	24.4	
724	248000	-0.54	1.2	2.46	23.5	
729	248700	-0.57	1.15	2.45	23.5	
734	249300	-0.61	1.12	2.46	23.5	
739	250000	-0.51	1.19	2.42	23.4	
743	251100	-0.91	0.75	2.38	23.2	
744	251400	-0.82	0.9	2.44	23.4	
749	252800	-0.56	1.24	2.53	23.9	
754	254200	-0.94	0.77	2.43	23.4	
759	255600	-0.75	0.98	2.45	23.5	
764	257000	-1.16	0.61	2.5	23.7	
769	259400	-0.41	1.15	2.28	22.7	
774	261800	-0.46	1.15	2.33	22.9	
779	264200	-0.64	1.17	2.54	23.9	
784	266600	-0.67	0.94	2.34	23	
789	269000	-0.34	1.27	2.33	22.9	
794	272600	-0.75	0.94	2.41	23.3	
799	276200	-0.94	1.03	2.72	24.7	
804	279800	-0.82	0.92	2.47	23.6	
809	283400	-1.27	0.79	2.82	25.1	
814	287000	-1.46	0.61	2.84	25.2	
819	288300	-1.23	1.05	3.1	26.1	
824	289700	-1.31	0.95	3.07	26	
829	291000	-1.13	1.25	3.23	26.6	
834	292300	-1.34	0.7	2.8	25	
839	293700	-0.85	0.73	2.3	22.8	
844	295000	-1.1	0.56	2.39	23.2	
849	296300	-0.69	1.13	2.55	23.9	
854	297700	-1.09	0.58	2.39	23.2	
859	299000	-0.62	1.28	2.64	24.3	
864	301800	-1.04	0.89	2.67	24.4	
869	304500	-0.9	1.05	2.69	24.5	
874	307300	-1.08	0.82	2.64	24.3	
879	310000	-1.68	0.36	2.8	25	
884	311500	-1.58	0.5	2.85	25.2	
889	313000	-1.29	0.73	2.78	24.9	
894	314500	-1.51	0.63	2.92	25.5	
899	316000	-1.44	0.78	3.02	25.9	
904	317500	-1.66	0.36	2.77	24.9	
909	319000	-1.33	0.71	2.79	25	
914	320500	-1.58	0.54	2.89	25.4	
919	322000	-1.36	0.75	2.88	25.3	
924	323500	-1.78	0.33	2.89	25.3	
929	325000	-1.67	0.83	3.41	27.2	
934	326500	-1.85	0.49	3.18	26.4	
939	328000	-2.05	0.5	3.48	27.4	
944	329500	-1.77	0.55	3.16	26.4	
949	331000	-2.03	0.63	3.65	28	
954	334500	-2	0.42	3.29	26.8	
959	338000	-1.24	1.42	3.65	28	
964	338600	-0.94	1.46	3.26	26.7	
969	339300	-0.6	1.74	3.18	26.4	
974	339900	-0.86	1.23	2.86	25.2	
979	340500	-0.35	1.72	2.83	25.1	
984	341100	-0.88	1.05	2.67	24.5	
989	341800	-0.46	1.54	2.75	24.8	
994	342400	-0.28	1.58	2.59	24.1	
999	343000	-0.18	1.61	2.51	23.8	
1004	346000	-0.46	1.29	2.48	23.6	
1009	349000	-0.67	1.26	2.67	24.5	
1014	352000	-0.42	1.38	2.52	23.8	
1019	355000	-0.49	1.2	2.41	23.3	
1024	358000	-0.62	0.99	2.33	22.9	
1029	361000	-0.76	0.86	2.34	23	
