# NOAA Paleoclimatology Program - Paleocean Site Data
# odp806b-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             David W. Lea
# Core/Site:      ODP806B
# Latitude:       0.19.04N	( 0.31778)
# Longitude:      159.21.25E	( 159.357)
# Water Depth(m): 2520
#
# Publications:
#   Lea, D.W., D.K. Pak, and H.J. Spero. 2000. Climate impact of late Quaternary
#     equatorial Pacific sea surface temperature variations. Science
#     289(5485):1719-1724.
#------------------
#
# Description & Notes:
#   Equatorial Pacific sea surface temperatures during the late Quaternary.
#   Data precision: O18, ±0.06; Mg/Ca, ±2.1%; SST (est.), ±0.6°C; O18w (est.), ±0.18
#   Mg/Ca data on cleaned G. ruber shells by ICP-MS, SST estimates based on calibration
#   in Lea et al., 2000, O18w calculated from O18ruber measurements, Mg/Ca-temperature
#   estimates and Orbulina low light paleotemperature equations
#   (Bemis et al., 1998).
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Og.rub     delta O18 PDB (Globigerinoides ruber)
#             d18Osmow      delta O18 SMOW
#             Mg/Ca         Magnesium/Calcium ratio
#             sst           Sea Surface Temperature (C)
#
# CORE: ODP806B
depth	yrBP 	d18Og.rub	d18Osmow	Mg/Ca	sst	
413	195000	-1.88	0.77	3.65	27.9	
418	197300	-1.76	1	3.82	28.5	
453	213700	-1.76	1.07	3.93	28.8	
458	216000	-1.92	0.98	4.05	29.1	
463	219800	-1.33	1.46	3.87	28.6	
468	223500	-1.42	1.24	3.66	28	
474	228000	-1.39	0.89	3.11	26.2	
478	229400	-1.4	1	3.28	26.7	
484	231400	-1.61	0.99	3.56	27.7	
488	232800	-1.71	0.76	3.37	27.1	
494	234900	-1.86	0.86	3.75	28.3	
498	236300	-1.82	0.91	3.77	28.3	
503	238000	-1.99	0.67	3.66	28	
508	240300	-1.85	0.95	3.89	28.7	
513	242700	-1.69	1.13	3.91	28.7	
518	245000	-1.7	1.23	4.1	29.2	
523	245800	-1.54	1.3	3.94	28.8	
528	246700	-1.47	0.97	3.32	26.9	
533	247500	-1.45	1.11	3.5	27.5	
538	248300	-1.41	0.98	3.26	26.7	
543	249200	-1.43	1.07	3.42	27.2	
548	250000	-1.32	1.11	3.32	26.9	
553	251200	-1.53	0.91	3.33	26.9	
558	252300	-1.17	1.36	3.46	27.3	
564	253700	-1.34	1.24	3.53	27.6	
568	254700	-1.31	1.09	3.28	26.7	
573	255800	-1.26	1.03	3.12	26.2	
578	257000	-1.58	0.85	3.31	26.9	
583	259400	-1.39	1.01	3.27	26.7	
588	261800	-1.51	0.79	3.14	26.2	
593	264200	-1.53	0.96	3.4	27.2	
598	266600	-1.65	0.83	3.39	27.1	
603	269000	-1.35	1.09	3.32	26.9	
608	273500	-1.35	0.97	3.16	26.3	
613	278000	-1.41	1.17	3.53	27.6	
618	282500	-1.37	1.29	3.65	28	
623	287000	-1.69	1.18	4.01	29	
628	289000	-1.59	1.01	3.57	27.7	
653	299000	-1.54	1.26	3.89	28.7	
658	302700	-1.85	0.81	3.66	28	
663	306300	-1.86	0.79	3.64	27.9	
668	310000	-2.01	0.5	3.43	27.3	
673	313800	-1.91	0.91	3.92	28.7	
678	317600	-1.68	0.98	3.66	28	
683	321500	-1.78	0.93	3.74	28.2	
688	325300	-1.75	1.09	3.95	28.8	
693	329100	-1.67	1.08	3.79	28.4	
698	335000	-1.8	0.95	3.8	28.4	
703	343000	-1.14	1.43	3.53	27.6	
708	345300	-1.23	1.12	3.2	26.5	
713	347500	-1.25	1.14	3.25	26.7	
718	349800	-1.27	1.35	3.59	27.8	
723	352000	-1.04	1.19	3.05	25.9	
728	353600	-1.05	1.09	2.92	25.5	
733	355200	-1.19	1.07	3.08	26	
743	358400	-1.41	1	3.29	26.8	
748	360000	-1.29	0.96	3.07	26	
758	363200	-1.47	0.64	2.89	25.3	
763	364800	-1.43	0.69	2.9	25.4	
768	366400	-1.57	0.64	3.01	25.8	
773	368000	-1.63	0.44	2.85	25.2	
778	371500	-1.57	0.67	3.05	25.9	
783	375000	-1.42	1.13	3.49	27.4	
788	378000	-1.54	0.87	3.29	26.8	
793	381000	-1.69	0.93	3.6	27.8	
798	384000	-1.67	0.91	3.54	27.6	
802	386400	-1.75	0.72	3.38	27.1	
808	390000	-1.7	0.88	3.54	27.6	
818	396000	-999	1.04	3.91	28.7	
822	398400	-1.85	1.08	4.11	29.3	
828	402000	-2.21	0.8	4.25	29.7	
833	405000	-2.41	0.61	4.26	29.7	
838	407000	-2	1.02	4.26	29.7	
848	411100	-2.12	0.96	4.38	30	
852	412800	-2.06	1.07	4.48	30.2	
857	414800	-1.91	1.2	4.43	30.1	
863	417300	-1.92	0.98	4.06	29.1	
868	419300	-1.67	1.25	4.07	29.2	
877	423000	-1.49	1.37	3.99	29	
882	425100	-1.25	1.57	3.92	28.8	
888	427700	-0.77	2.01	3.85	28.5	
895	430700	-0.75	1.64	3.26	26.7	
899	432400	-0.77	1.64	3.29	26.8	
905	435000	-0.44	2.06	3.41	27.2	
908	438400	-0.75	1.62	3.24	26.6	
912	443000	-1.1	1.53	3.61	27.8	
918	446600	-0.99	1.34	3.17	26.4	
922	449000	-1.03	1.29	3.16	26.3	
928	452600	-1.12	1.1	3.03	25.9	
935	456800	-1.25	1.16	3.29	26.8	
942	461000	-1.45	0.84	3.12	26.2	
947	470000	-1.24	1.08	3.16	26.3	
