age(kyr)  SST(°C)  
   15.0     25.3
   15.7     24.4
   16.4     24.5
   17.1     24.2
   17.9     24.4
   18.3     24.8
   18.7     24.0
   19.2     25.0
   19.6     24.5
   20.1     24.8
   20.5     24.5
   21.0     25.0
   21.4     24.9
   21.8     24.0
   22.3     24.7
   22.7     24.2
   23.2     25.3
   23.4     25.6
   23.6     25.1
   23.9     26.0
   24.1     25.6
   25.5     25.2
   26.9     25.9
   29.8     26.0
   31.2     25.6
   32.6     25.8
   34.0     26.7
   35.4     26.5
   36.8     26.7
   38.2     25.9
   39.6     24.7
   41.1     25.5
   42.5     25.5
   43.9     24.4
   44.9     23.3
   46.0     25.0
   47.0     25.0
   48.1     24.9
   49.2     23.2
   50.2     23.8
   51.1     23.5
   52.0     23.9
   52.8     23.9
   53.7     24.4
   54.6     23.5
   55.5     24.3
   57.2     23.2
   59.0     24.7
   61.5     24.4
   64.1     25.2
   66.5     24.2
   68.8     24.7
   69.6     23.8
   70.3     24.4
   72.1     23.4
   73.9     25.0
   75.2     25.1
   76.6     24.9
   77.9     24.5
   79.3     26.0
   81.2     25.5
   83.2     26.3
   85.1     26.0
   87.1     26.5
   89.0     26.1
   91.0     26.2
   91.6     26.5
   92.3     26.1
   92.9     26.4
   93.6     26.4
   94.2     26.5
   94.9     25.7
   95.6     26.0
   96.2     26.0
   97.8     25.3
   99.4     26.8
  101.3     26.5
  103.3     26.9
  105.2     26.8
  107.0     26.6
  108.9     26.7
  110.8     26.9
  114.1     27.4
  117.3     27.2
  120.6     27.5
  123.8     27.6
  125.3     27.5
  126.8     27.4
  128.3     27.3
  129.8     27.0
  130.7     27.3
  131.6     26.4
  132.5     26.9
  133.4     26.8
  134.2     27.0
  135.1     25.8
  137.3     27.0
  139.5     26.7
  143.8     26.3
  148.2     25.7
   152.6    25.6





3. Core MD79257

 age(kyr) SST(°C)
    1.2    26.8  
    1.5    26.9  
    2.1    26.9  
    3.8    27.2  
    4.3    27.4  
    4.7    27.2  
    5.3    27.1  
    5.7    27.1  
    6.1    27.3  
    6.4    27.4  
    6.7    27.5  
    7.1    27.5  
    7.2    26.8  
    7.4    27.2  
    7.9    26.6  
    8.0    26.5  
    8.0    26.5  
    8.0    26.6  
    8.1    26.5  
    8.1    26.4  
    8.1    26.6  
    8.2    26.8  
    8.3    26.7  
    8.5    26.8  
    8.7    26.8  
    8.9    26.9  
    9.2    26.9  
    9.4    26.1  
    9.6    26.3  
    9.8    26.3  
   10.1    26.1  
   10.2    26.4  
   10.4    26.3  
   10.5    26.2  
   10.7    26.1  
   10.9    26.4  
   11.0    26.3  
   11.1    26.4  
   11.3    26.2  
   11.4    26.3  
   11.5    26.0  
   11.7    25.8  
   11.9    25.9  
   12.0    25.8  
   12.2    25.8  
   12.4    26.1  
   12.6    26.0  
   12.8    25.9  
   13.1    26.0  
   13.4    26.1  
   13.8    26.1  
   14.3    26.1  
   14.7    26.1  
   15.2    25.9  
   15.7    24.9  
   16.3    24.7  
   16.9    24.6  
   17.4    25.4  
   18.0    24.6  
   18.9    25.0  
   19.6    24.2  
   20.4    25.0  
   20.7    25.3  
   21.2    25.4  
   21.8    25.1  
   22.3    25.3  
   22.9    25.3  
   23.4    25.2  
   23.9    25.4  
   24.6    25.6  
   25.0    25.3  
   25.5    25.9  
   26.0    25.8  
   26.6    26.0  
   27.1    25.8  
   27.6    25.1  
   28.2    25.3  
   28.7    25.6  
   29.3    25.8  
   29.8    25.6  
   30.3    25.5  
   30.8    25.9  
   31.3    25.7  
   31.9    25.6  
   32.4    26.0  
   32.9    25.3  
   33.5    25.4  
   34.0    26.2  
   34.6    26.1  
   35.2    26.3  
   35.8    25.7  
   36.4    25.6  
   37.0    25.8  
   37.6    25.9  
   38.3    25.6  
   39.0    25.7  
   39.7    25.8  
   40.5    26.2  
   41.3    26.0  
   42.1    26.5  
   43.0    26.6  
   43.9    26.7  
   44.9    26.4  



4. Core MD85668

 age (kyr) SST (°C)
    0.0      26.7  
    0.8      26.7  
    2.2      26.5  
    3.7      26.3  
    5.2      26.1  
    7.3      26.4  
    9.3      25.7  
    11.3     25.6  
    13.4     26.0  
    15.2     25.9  
    16.8     26.2  
    18.0     25.5  
    18.7     25.6  
    19.2     25.1  
    19.7     25.6  
    20.2     25.5  
    20.8     25.3  
    21.3     26.2  
    22.1     26.6  
    24.6     26.5  
    27.2     26.4  
    29.9     26.3  
    33.7     26.1  
    37.6     26.3  
    41.4     26.1  
    44.9     26.4  
    47.4     26.0  
    49.8     26.1  
    51.4     26.7  
    53.2     26.6  
    55.1     26.6  
    57.0     26.6  
    58.9     26.7  
    60.9     26.1  
    63.0     26.1  
    65.2     26.1  
    67.3     26.0  
    69.3     26.0  
    71.4     26.6  
    73.4     26.4  
    75.3     26.8  
    76.9     26.6  
    78.5     27.3  
    80.2     27.3  
    81.9     26.7  
    83.7     26.8  
    85.5     27.2  
    87.6     26.9  
    90.0     26.7  
    92.7     27.1  
    95.4     27.2  
    98.3     27.2  
   101.6     27.3  
   104.9     27.5  
