Core	Depth (cm)	Age(ka)	d18O	Uk'37	SST
LAPAZ21P	5.065	144.6569767	-999	0.853	23.9
LAPAZ21P	5.115	145.9941861	3.55	0.85	23.8
LAPAZ21P	5.165	147.3313954	-999	0.824	23.1
LAPAZ21P	5.215	148.5898876	3.53	0.846	23.7
LAPAZ21P	5.265	149.7696629	-999	0.832	23.3
LAPAZ21P	5.315	150.9494382	3.5	0.839	23.5
LAPAZ21P	5.365	152.1292135	-999	0.829	23.2
LAPAZ21P	5.415	153.3089888	3.56	0.825	23.1
LAPAZ21P	5.455	154.252809	-999	0.829	23.2
LAPAZ21P	5.515	155.6685393	3.47	0.814	22.8
LAPAZ21P	5.555	156.6123596	-999	0.818	22.9
LAPAZ21P	5.615	158.0280899	3.52	0.831	23.3
LAPAZ21P	5.665	159.2078652	-999	0.84	23.6
LAPAZ21P	5.715	160.3876405	3.36	0.868	24.4
LAPAZ21P	5.765	161.5674157	-999	0.832	23.3
LAPAZ21P	5.815	162.747191	3.27	0.823	23.1
LAPAZ21P	5.865	163.9269663	-999	0.845	23.7
LAPAZ21P	5.915	165.1067416	3.35	0.833	23.4
LAPAZ21P	5.965	166.2865169	-999	0.837	23.5
LAPAZ21P	6.015	167.4662921	3.07	0.845	23.7
LAPAZ21P	6.065	168.6460674	-999	0.844	23.7
LAPAZ21P	6.115	169.4579439	2.95	0.852	23.9
LAPAZ21P	6.165	170.1121495	-999	0.852	23.9
LAPAZ21P	6.215	170.7663551	3.19	0.864	24.3
LAPAZ21P	6.265	171.4205608	-999	0.871	24.5
LAPAZ21P	6.315	172.0747664	3.37	0.887	24.9
LAPAZ21P	6.365	172.728972	-999	0.869	24.4
LAPAZ21P	6.415	173.3831776	3.05	0.857	24.1
LAPAZ21P	6.465	174.0373832	-999	0.837	23.5
LAPAZ21P	6.515	174.6915888	3.34	0.863	24.2
LAPAZ21P	6.565	175.3457944	-999	0.894	25.1
LAPAZ21P	6.615	176	3.41	0.855	24
LAPAZ21P	6.665	176.6542056	-999	0.874	24.6
LAPAZ21P	6.715	177.3084112	3.45	0.877	24.7
LAPAZ21P	6.765	177.9626168	-999	0.852	23.9
LAPAZ21P	6.815	178.6168224	3.48	0.878	24.7
LAPAZ21P	6.865	179.271028	-999	0.879	24.7
LAPAZ21P	6.915	179.9252336	3.51	0.864	24.3
LAPAZ21P	6.965	180.5794393	-999	0.868	24.4
LAPAZ21P	7.015	181.2336449	3.35	0.864	24.3
LAPAZ21P	7.065	181.8878505	-999	0.877	24.6
LAPAZ21P	7.115	182.5420561	3.37	0.877	24.6
LAPAZ21P	7.165	183.7394366	-999	0.881	24.8
LAPAZ21P	7.215	186.2042254	3.41	0.888	25
LAPAZ21P	7.265	188.6690141	-999	0.907	25.5
LAPAZ21P	7.315	191.1338028	-999	0.914	25.7
LAPAZ21P	7.315	191.1338028	-999	0.918	25.8
LAPAZ21P	7.365	193.5985916	-999	0.874	24.6
LAPAZ21P	7.415	196.0633803	2.73	0.887	24.9
LAPAZ21P	7.465	198.528169	-999	0.892	25.1
LAPAZ21P	7.515	200.9929578	2.68	0.89	25
LAPAZ21P	7.565	203.4577465	-999	0.893	25.1
LAPAZ21P	7.615	205.9225352	2.79	0.892	25.1
LAPAZ21P	7.665	208.3873239	-999	0.897	25.3
LAPAZ21P	7.665	208.3873239	-999	0.895	25.2
