Galápagos TR163-22 Foraminiferal d18O and Mg/Ca Data and SST Reconstruction
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 
Galápagos TR163-22 Foraminiferal d18O and Mg/Ca Data and SST Reconstruction
LAST UPDATE: 10/2006 (Original receipt by WDC Paleo)
CONTRIBUTOR: David W. Lea, University of California Santa Barbara
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2006-090

SUGGESTED DATA CITATION: Lea, D.W., et al. 2006. 
Galápagos TR163-22 Foraminiferal d18O and Mg/Ca Data and SST Reconstruction.
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2006-090.
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: 
Lea, D.W., D.K. Pak, C.L. Belanger, H.J. Spero, M.A. Hall, and N.J. Shackleton. 2006.
Paleoclimate history of Galápagos surface waters over the last 135,000 yr.
Quaternary Science Reviews, Vol. 25, Issues 11-12, June 2006, pp. 1152-1167,
doi:10.1016/j.quascirev.2005.11.010.

ABSTRACT:
Records of planktonic and benthic foraminiferal d18O and planktonic Mg/Ca 
from core TR163-22, just northwest of the Galápagos Islands, reveal a 
detailed (250–450 year resolution) climate history of the region over the 
last 135 thousand years (kyr). Sea surface temperatures (SSTs), reconstructed 
from G. ruber Mg/Ca, averaged 24.3±0.4 °C during the Holocene, 22.6±0.6 °C 
during marine isotope stage (MIS) 2, 3 and 4, and 26.0±0.9 °C during MIS 5e. 
Changes in SST lead changes in both planktonic and benthic d18O by an average 
~3 kyr, suggesting that SST changes in this region predated continental ice 
volume changes. Changes in SST display clear millennial scale variability, 
especially in marine isotope stage 3, with behavior somewhat similar to 
Antarctic proxy air temperature and South Pacific SST records. Removal of 
the temperature component from the planktonic d18O record demonstrates that 
glacial-interglacial d18O-water changes at this site were 1.0±0.2 per mil, 
similar to estimates for mean ocean shifts, implying that salinity changes 
due to regional hydrological variation between the Last Glacial Maximum and 
Holocene in the Galápagos region were minimal. Comparison between the 
TR163-22 SST record and an SST record from core TR163-19 North of the 
Equatorial Front reveals a largely similar broad-scale climate history, 
suggesting that changes in the Galápagos region were caused by large scale 
forcing rather than by local or regional dynamical changes. Changes in 
atmospheric greenhouse forcing are the most plausible explanation for 
the observed large-scale climate changes in the eastern equatorial Pacific.

GEOGRAPHIC REGION: Eastern Pacific, Galápagos Islands
PERIOD OF RECORD:  135 KyrBP - present


DESCRIPTION:  
This dataset includes G. ruber Mg/Ca and d18O, Uvigerina d18O, and calculated 
SST and d18Ow from core TR163-22, eastern equatorial Pacific.

Core TR163-22: 0°31'N, 92°24'W, 2830m. depth.

Ages are based on calibrated radiocarbon and marine isotope stage transitions. 
Mg/Ca is corrected for Al-silicated contamination as described in Lea et al., 2005, G^3. 
SST and O18w calculated as described in the primary reference. 
G. ruber Mg/Ca measured by isotope dilution ICP-MS at UCSB. 
G. ruber O18 measured by IRMS at UC Davis. 
Uvigerina O18 measured by IRMS at Univ. Cambridge, UK.


DATA:
Core TR163-22 Mg/Ca, d18O, d18Ow, and SST

Column 1: Depth (cm.)
Column 2: Age (Kyr)
Column 3: Mg/Ca G. ruber
Column 4: SST (°C)
Column 5: d18O G. ruber (per mil)
Column 6: d18Ow G. ruber (per mil)
Column 7: d18O Uvigerina (per mil)


Depth     Age   rubMg/Ca      SST     rubO18   rubO18w    UviO18
  160    19.2      2.175      22.7     -0.17      1.39      4.68
  162    19.4      1.987      21.7      0.14      1.49      5.12
  164    19.6      2.232        23     -0.06      1.56      4.79
  166    19.8      1.936      21.4      0.15      1.45      4.68
  168      20      2.129      22.5      0.01      1.52      4.74
  170    20.1      2.154      22.6     -0.06      1.49       4.9
  172    20.3      2.009      21.8     -0.39      0.99      4.79
  174    20.5      2.153      22.6      -0.2      1.34      4.76
  176    20.7      2.206      22.9     -0.19       1.4      4.94
  178    20.9      2.319      23.4     -0.39      1.32      4.82
  180    21.1      2.193      22.8     -0.18       1.4      4.88
  182    21.3      2.183      22.8     -0.13      1.44      4.95
  184    21.5      2.065      22.1     -0.16      1.28      #N/A
  186    21.7      2.257      23.1     -0.07      1.58      4.85
  188    21.8      2.088      22.3      0.11      1.58      4.76
  190      22      2.029      21.9      0.03      1.44      4.76
  192    22.2      1.987      21.7      0.23      1.58      4.56
  194    22.4      1.989      21.7     -0.04      1.32      4.43
  196    22.6      2.083      22.2     -0.06      1.41      4.79
  198    22.8       2.05      22.1     -0.33       1.1      4.91
  200      23      2.203      22.9     -0.48      1.12      4.82
  202    23.1      2.152      22.6     -0.51      1.03       4.7
  204    23.3      2.294      23.3     -0.51      1.17      4.84
  206    23.5      2.369      23.7      -0.5      1.26      #N/A
  208    23.7      2.343      23.5     -0.63       1.1      4.68
  210    23.9      2.324      23.4     -0.26      1.45      4.64
  212    24.1      2.344      23.5     -0.44      1.29       4.7
  214    24.3      2.135      22.5     -0.44      1.09      4.59
  216    24.5      2.272      23.2     -0.41      1.25      4.64
  218    24.7      2.168      22.7     -0.13      1.42      4.88
  220    24.8      2.181      22.7     -0.07       1.5      4.39
  221    24.9      2.035        22     -0.36      1.05      4.59
  223    25.1      2.101      22.3     -0.15      1.33      #N/A
  225    25.3      2.159      22.6     -0.31      1.24      4.71
  227    25.5      1.981      21.7     -0.31      1.03      4.74
  229    25.7      2.181      22.7     -0.22      1.35      4.66
  231    25.9      2.057      22.1     -0.18      1.26       4.8
  233    26.1      2.162      22.6     -0.66      0.89      4.63
  235    26.3      2.429      23.9     -0.32       1.5      4.62
  237    26.5      2.115      22.4     -0.36      1.14      4.72
  239    26.7       2.03      21.9     -0.47      0.93      4.69
  241    26.9      2.082      22.2     -0.59      0.88      4.64
  243    27.1      2.045        22     -0.45      0.97      4.59
  245    27.3      2.043        22     -0.69      0.73      4.74
  247    27.5      2.016      21.9     -0.29       1.1      4.72
  249    27.6      2.007      21.8     -0.17      1.21      4.48
  251    27.8      2.101      22.3     -0.33      1.15       4.7
  253      28      2.103      22.3     -0.13      1.36      4.48
  255    28.2      2.171      22.7     -0.39      1.17      4.58
  257    28.4      2.274      23.2     -0.56      1.11      4.67
  259    28.6      2.141      22.5     -0.55      0.98      4.52
  261    28.8      2.168      22.7     -0.22      1.33      4.56
  263      29      1.954      21.5     -0.23      1.08      4.43
  265    29.3      2.159      22.6     -0.56      0.98      4.38
  267    29.5       2.35      23.6     -0.27      1.47      4.49
  269    29.7      2.093      22.3     -0.18       1.3      4.55
  271    29.9      2.133      22.5      -0.2      1.32       4.4
  273    30.1      2.143      22.5      -0.5      1.03      4.71
  275    30.3      2.024      21.9     -0.27      1.13      4.47
  277    30.5      2.172      22.7     -0.38      1.18      4.44
  279    30.7      2.164      22.7     -0.57      0.98      4.54
  281    30.9      2.072      22.2     -0.56      0.89      4.47
  283    31.1      2.205      22.9     -0.39      1.21       4.5
  285    31.3      2.287      23.3     -0.83      0.85      4.37
