/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core GeoB6007-2 using alkenones. doi:10.1594/PANGAEA.737217, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 30.850000 * LONGITUDE: -10.268300
	MINIMUM AGE: 0.254 ka BP * MAXIMUM AGE: 10.502 ka BP
Event(s):	GeoB6007-2 * LATITUDE: 30.850000 * LONGITUDE: -10.268300 * DATE/TIME: 1999-10-18T15:50:00 * ELEVATION: -900.0 m * RECOVERY: 11.05 m * CAMPAIGN: M45/5a (URI: doi:10.3289/cr_m45) * BASIS: Meteor (1986) (URI: http://de.wikipedia.org/wiki/Meteor_(Schiff,_1986)) * DEVICE: Gravity corer (Kiel type) (SL)
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy alkenones (URL: hdl:10013/epic.35232.d001) * METHOD: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	394 data points
*/
Age [ka BP]	SST [¡C]
0.254	18.5
0.285	18.9
0.316	19.0
0.347	18.9
0.378	18.8
0.409	19.0
0.441	19.0
0.472	19.1
0.503	19.2
0.534	19.3
0.565	19.2
0.596	18.9
0.627	18.9
0.658	18.9
0.690	18.7
0.721	19.1
0.752	19.0
0.783	19.0
0.814	18.9
0.845	19.1
0.876	19.0
0.907	19.3
0.939	19.3
0.970	19.4
1.001	19.4
1.032	19.6
1.063	19.6
1.079	19.5
1.094	19.5
1.110	19.5
1.125	19.5
1.141	19.4
1.156	19.4
1.172	19.4
1.187	19.5
1.203	19.4
1.218	19.5
1.234	19.5
1.249	19.4
1.277	19.5
1.317	19.4
1.357	19.3
1.397	19.4
1.437	19.3
1.477	19.3
1.518	19.3
1.558	19.3
1.598	19.3
1.638	19.2
1.678	19.4
1.718	19.4
1.758	19.2
1.798	19.2
1.838	19.2
1.878	19.1
1.918	19.1
1.959	19.2
1.999	19.2
2.039	19.1
2.079	19.0
2.119	19.1
2.159	19.2
2.199	19.1
2.239	19.1
2.279	19.1
2.319	19.1
2.359	19.1
2.399	19.1
2.440	19.1
2.480	19.1
2.520	19.1
2.560	19.1
2.600	19.1
2.640	19.2
2.670	19.1
2.689	19.2
2.709	19.1
2.728	19.2
2.748	19.4
2.767	19.2
2.787	19.3
2.806	19.1
2.826	19.2
2.845	19.3
2.864	19.4
2.884	19.5
2.903	19.4
2.923	19.4
2.942	19.4
2.962	19.4
2.981	19.4
3.001	19.4
3.020	19.4
3.040	19.2
3.059	19.2
3.079	19.2
3.098	19.3
3.118	19.3
3.137	19.3
3.157	19.2
3.176	19.2
3.196	19.2
3.215	19.3
3.234	19.4
3.254	19.3
3.273	19.4
3.293	19.5
3.312	19.2
3.332	19.5
3.351	19.5
3.371	19.3
3.390	19.3
3.410	19.4
3.429	19.4
3.449	19.6
3.468	19.6
3.488	19.6
3.507	19.6
3.527	19.6
3.546	19.8
3.566	19.7
3.585	19.8
3.604	19.7
3.624	19.9
3.663	19.7
3.702	19.8
3.741	19.9
3.780	19.9
3.819	19.8
3.858	19.8
3.897	19.8
3.936	19.9
3.975	19.6
4.014	19.4
4.053	19.6
4.092	19.6
4.131	19.6
4.170	19.5
4.209	19.5
4.248	19.6
4.287	19.6
4.326	19.5
4.365	19.5
4.404	19.6
4.443	19.5
4.482	19.5
4.521	19.5
4.560	19.6
4.599	19.7
4.638	19.6
4.677	19.6
4.716	19.5
4.755	19.8
4.794	19.8
4.839	19.7
4.888	19.6
4.937	19.5
4.987	19.6
5.036	19.7
5.085	19.8
5.134	19.7
5.184	19.7
5.233	19.8
5.282	20.0
5.323	19.9
5.354	19.9
5.385	19.9
5.416	20.0
5.447	19.6
5.478	19.9
5.509	19.8
5.540	19.9
5.571	19.8
5.602	19.7
5.633	19.8
5.664	19.8
5.695	19.9
5.726	19.9
5.757	19.9
5.788	19.9
5.819	19.8
5.850	19.8
5.881	19.8
5.912	20.0
5.943	20.1
5.974	20.1
6.005	20.1
6.036	20.1
6.067	20.1
6.098	20.2
6.129	20.3
6.160	20.4
6.191	20.3
6.222	20.2
6.253	20.1
6.284	20.0
6.315	20.2
6.346	20.2
6.377	20.5
6.408	20.5
6.439	20.4
6.470	20.4
6.501	20.5
6.532	20.5
6.563	20.5
6.592	20.4
6.621	20.2
6.650	20.4
6.679	20.4
6.708	20.4
6.737	20.5
6.766	20.5
6.795	20.6
6.824	20.3
6.853	20.2
6.882	20.3
6.911	20.2
6.940	20.6
6.969	20.7
6.999	20.6
7.028	20.6
7.057	20.4
7.086	20.5
7.115	20.5
7.144	20.6
7.173	20.6
7.202	20.5
7.242	20.4
7.282	20.5
7.322	20.4
7.361	20.4
7.401	20.3
7.441	20.2
7.481	20.2
7.521	20.2
7.561	20.4
7.601	20.3
7.640	20.4
7.680	20.3
7.720	20.3
7.760	20.2
7.800	20.1
7.840	20.2
7.879	20.1
7.919	20.1
7.959	20.1
7.999	20.4
8.048	20.3
8.098	20.3
8.147	20.3
8.196	20.4
8.245	20.2
8.295	20.2
8.344	19.7
8.393	19.6
8.443	19.6
8.492	19.7
8.541	19.7
8.590	19.7
8.625	19.9
8.646	20.0
8.667	20.4
8.687	20.3
8.708	20.2
8.729	20.3
8.749	20.5
8.770	20.3
8.791	20.4
8.811	20.5
8.832	20.5
8.852	20.3
8.873	20.3
8.894	20.4
8.914	20.4
8.935	20.4
8.956	20.4
8.976	20.5
8.997	20.4
9.018	20.5
9.036	20.5
9.052	20.4
9.069	20.4
9.085	20.4
9.101	20.7
9.117	20.5
9.134	20.6
9.150	20.7
9.166	20.9
9.182	20.7
9.199	20.6
9.215	20.6
9.231	20.5
9.247	20.5
9.263	20.6
9.280	20.5
9.296	20.4
9.312	20.6
9.328	20.5
9.345	20.4
9.361	20.2
9.377	20.2
9.393	20.3
9.410	20.9
9.426	20.8
9.437	20.8
9.443	20.7
9.448	20.7
9.454	20.7
9.460	20.7
9.466	20.6
9.471	20.7
9.477	20.6
9.483	20.5
9.488	20.5
9.494	20.5
9.500	20.5
9.506	20.4
9.511	20.8
9.517	20.7
9.523	20.8
9.529	20.7
9.534	20.6
9.540	20.8
9.546	20.8
9.552	20.4
9.557	20.4
9.563	20.2
9.569	20.6
9.574	20.4
9.580	20.4
9.586	20.3
9.592	20.4
9.597	20.4
9.603	20.4
9.617	20.4
9.639	20.5
9.660	20.3
9.682	20.3
9.704	20.2
9.725	20.2
9.747	20.2
9.769	20.4
9.791	20.3
9.812	20.5
9.834	20.4
9.856	20.5
9.878	20.5
9.899	20.4
9.921	20.4
9.943	20.4
9.964	20.3
9.986	20.3
10.008	20.1
10.030	20.3
10.051	20.2
10.073	20.4
10.095	20.6
10.116	20.2
10.138	20.3
10.160	20.1
10.182	20.4
10.203	20.3
10.225	20.4
10.247	20.4
10.269	20.4
10.290	20.4
10.312	20.4
10.319	20.4
10.326	20.2
10.333	20.3
10.340	20.2
10.347	20.2
10.354	20.3
10.361	20.2
10.368	20.4
10.375	20.3
10.382	20.5
10.390	20.4
10.397	20.4
10.404	20.5
10.411	20.6
10.418	20.6
10.425	20.6
10.432	20.7
10.439	20.5
10.446	20.5
10.453	20.6
10.460	20.8
10.467	20.6
10.474	20.6
10.481	20.5
10.488	20.5
10.495	20.4
10.502	20.5
