/* DATA DESCRIPTION:
Citation:	Leduc, G et al. (2010): Sea surface temperature reconstruction from sediment core 108-658C using alkenones. doi:10.1594/PANGAEA.737190, 
	In Supplement to: Leduc, Guillaume; Schneider, Ralph R; Kim, Jung-Hyun; Lohmann, Gerrit (2010): Holocene and Eemian Sea surface temperature trends as revealed by alkenone and Mg/Ca paleothermometry. Quaternary Science Reviews, 29(7-8), 989-1004, doi:10.1016/j.quascirev.2010.01.004
Coverage:	LATITUDE: 20.749200 * LONGITUDE: -18.580800
	MINIMUM AGE: 0.071 ka BP * MAXIMUM AGE: 10.406 ka BP
Event(s):	108-658C * LATITUDE: 20.749200 * LONGITUDE: -18.580800 * DATE/TIME START: 1986-03-08T00:45:00 * DATE/TIME END: 1986-03-08T16:00:00 * ELEVATION: -2273.0 m * RECOVERY: 70.38 m * PENETRATION: 72.90 m * LOCATION: Canarias Sea * CAMPAIGN: Leg108 (URI: doi:10.2973/odp.proc.ir.108.1988) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Drilling/drill rig (DRILL) * COMMENT: 8 cores; 72.9 m cored; 0 m drilled; 96.5 % recovery
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Sea surface temperature [¡C] (SST) * PI: References, proxy alkenones (URL: hdl:10013/epic.35232.d001) * METHOD: SST calculated from alkenones
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	103 data points
*/
Age [ka BP]	SST [¡C]
0.071	20.5
0.141	20.7
0.212	20.5
0.282	20.5
0.353	20.6
0.424	20.6
0.494	20.7
0.565	20.8
0.615	20.8
0.645	20.6
0.675	20.1
0.705	20.6
0.735	19.7
0.765	18.3
0.814	19.7
0.881	20.8
0.948	20.8
1.015	20.7
1.083	20.8
1.150	20.9
1.217	20.7
1.284	20.5
1.654	20.7
1.721	20.4
1.788	20.5
1.856	20.7
1.923	20.4
1.990	20.3
2.103	20.3
2.217	20.4
2.330	20.6
2.443	20.3
2.557	20.7
2.670	20.5
2.783	20.1
2.897	20.6
3.010	20.6
3.123	20.5
3.237	20.6
3.350	20.9
3.463	21.3
3.577	20.9
3.690	20.4
3.803	20.6
3.917	20.7
4.088	20.4
4.203	20.7
4.319	20.9
4.434	20.5
4.550	20.6
4.665	20.7
4.780	21.5
4.896	21.1
5.011	21.1
5.127	21.0
5.242	20.6
5.362	20.9
5.486	20.6
5.610	20.8
5.734	20.8
5.858	21.1
5.982	21.3
6.106	21.5
6.230	21.5
6.354	21.3
6.478	21.1
6.602	21.2
6.726	21.2
6.850	21.0
6.974	20.9
7.036	21.3
7.160	21.4
7.284	21.5
7.408	21.3
7.484	21.1
7.511	21.3
7.538	21.4
7.565	21.4
7.592	21.2
7.619	21.4
7.646	21.2
7.674	21.3
7.701	21.1
7.728	21.2
7.755	21.2
7.782	21.1
7.809	20.9
7.836	21.0
7.966	20.4
8.199	20.3
8.431	21.0
8.664	20.3
8.896	20.2
9.129	20.1
9.361	20.4
9.594	19.6
9.764	19.4
9.871	19.6
9.978	19.5
10.085	19.6
10.192	19.6
10.299	19.5
10.406	19.4
