	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	
4.5	19	-0.748515393	-1.089252463	0.261124554	-0.924430653	-1.697264321	-1.52535965	0.036098687	-0.542013576	0.155935841	-0.173449363	-0.669370661	0.844008286	-0.014533298	-0.773241675	0.116580661	-0.204276657	0.416352328	0.671557457	0.227626123	-0.071178841	-0.466749689	0.366364054	0.457836361	-1.394677524	0.509917353	-2.116867019	-0.037117409
4.75	20	-0.784719296	-1.110612024	0.241725859	-0.958138253	-1.694184267	-1.511099939	0.037531511	-0.531349544	0.215251656	-0.19889605	-0.652822967	0.91901782	-0.065091007	-0.826594279	0.103705398	-0.201130221	0.293364152	0.684061383	0.283091637	-0.062791191	-0.438098091	0.387215465	0.483453184	-1.426254324	0.510966137	-2.081811394	-0.017849072
5	21	-0.81659294	-1.134737069	0.232647585	-0.989113982	-1.681207275	-1.485633555	0.041466269	-0.517490187	0.272768854	-0.22557242	-0.632965452	0.99810061	-0.117127124	-0.883790509	0.085460799	-0.198391454	0.161942222	0.695401627	0.333467299	-0.061880124	-0.409601441	0.410236261	0.510000135	-1.454739254	0.514050055	-2.047762332	0.006033626
5.25	22	-0.843309701	-1.163696765	0.23317628	-1.019735258	-1.663319749	-1.452895351	0.047849211	-0.501646534	0.323695632	-0.253599774	-0.611295777	1.079487041	-0.166712049	-0.943967903	0.062679081	-0.196839192	0.033365059	0.705602069	0.376468966	-0.070379058	-0.383207016	0.434157676	0.537279106	-1.48052715	0.52046527	-2.017461169	0.034349487
5.5	23	-0.864042956	-1.199805228	0.238050058	-1.0523795	-1.646003012	-1.416820183	0.056626584	-0.485029613	0.363240185	-0.283099411	-0.589311602	1.161407502	-0.209916184	-1.006263995	0.036192464	-0.197252271	-0.080936669	0.714686595	0.40981336	-0.087322119	-0.360842453	0.457721428	0.565091984	-1.503988738	0.531905563	-1.993649241	0.065886555
5.75	24	-0.877999403	-1.249644052	0.242007036	-1.089424127	-1.634738385	-1.381342904	0.067744638	-0.468850454	0.386610709	-0.313964126	-0.56851059	1.242092377	-0.242809929	-1.069816323	0.006519259	-0.200409525	-0.169728546	0.722679086	0.434064412	-0.11134741	-0.343344806	0.480730819	0.593534577	-1.524055206	0.550438881	-1.973953065	0.099924853
6	25	-0.885468919	-1.313184428	0.240216429	-1.133246558	-1.631080507	-1.350398371	0.07682748	-0.453820374	0.389015401	-0.342118208	-0.5503904	1.319772055	-0.261463684	-1.133762422	-0.02823734	-0.207893928	-0.241220977	0.729609527	0.451962652	-0.141093036	-0.330389429	0.502870138	0.622348166	-1.54046531	0.574720542	-1.952152031	0.13580348
6.25	26	-0.887551124	-1.387456174	0.237439757	-1.186648256	-1.626784675	-1.327921437	0.076852747	-0.44031428	0.36290559	-0.368736481	-0.534774327	1.393628325	-0.261947852	-1.197172168	-0.067583457	-0.220832992	-0.307595003	0.735998982	0.46474406	-0.175197101	-0.321675322	0.523208854	0.650327482	-1.553903268	0.603034256	-1.929263003	0.17286153
6.5	27	-0.885356263	-1.469489102	0.236001783	-1.250350068	-1.621812133	-1.315890712	0.068140466	-0.429148456	0.306714553	-0.397423051	-0.520011291	1.472008454	-0.240273598	-1.257400981	-0.110320345	-0.238550353	-0.372413076	0.741957414	0.473644612	-0.212297709	-0.316901485	0.54081644	0.676253344	-1.5650533	0.633663733	-1.906394034	0.210438101
6.75	28	-0.879994578	-1.556313028	0.235146317	-1.321671594	-1.616772271	-1.312408507	0.051126805	-0.421139946	0.225946954	-0.431782023	-0.505387395	1.552153114	-0.196676677	-1.312276885	-0.155249256	-0.260353784	-0.439237647	0.747183658	0.479900287	-0.251032964	-0.315766917	0.554762365	0.698906571	-1.574599624	0.664892681	-1.884653177	0.247872289
