	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	
0	1	0	0	0	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	0	0	NA	NA	0	0	0	0	0	0	0	0	0
0.5	2	-0.070202713	-0.170016446	0.232239038	NA	-0.326270324	NA	NA	NA	NA	0.013407104	NA	NA	NA	NA	0.002700101	-0.035193686	NA	NA	-0.049358355	-0.053852592	-0.121156313	0.116147562	0.090857039	-0.239399385	0.102331256	-0.593602008	0.018448001
1	3	-0.146818621	-0.335053452	0.464830932	NA	-0.63931667	-0.47875448	0.093161749	-0.168867543	0.000724308	0.024064607	-0.271220567	0.22554551	0.057146357	NA	-0.003154555	-0.072085164	0.393355603	0.247493339	-0.093289805	-0.10030361	-0.239375318	0.207493063	0.164894551	-0.457102495	0.196699608	-1.160917327	0.020095989
1.5	4	-0.228474525	-0.492894736	0.643326165	NA	-0.916636652	-0.714388198	0.125231354	-0.254619009	-0.029000004	0.024392475	-0.39127814	0.306893787	0.101405338	NA	-0.002754866	-0.106570619	0.56533529	0.354943838	-0.125350768	-0.137973231	-0.342689927	0.275373567	0.223945921	-0.653504085	0.282078618	-1.600016819	0.00855644
2	5	-0.313415973	-0.641719454	0.724897216	-0.415722166	-1.153565156	-0.946603053	0.127994487	-0.337339113	-0.04742258	0.013394128	-0.492180587	0.367876808	0.146073842	-0.345006766	0.009903333	-0.137955124	0.683661092	0.442599922	-0.139097184	-0.165481633	-0.42739393	0.309551002	0.270286215	-0.828998911	0.35762942	-1.906973397	-0.012558171
2.5	6	-0.399888517	-0.779706762	0.699354921	-0.526382617	-1.357013181	-1.149565467	0.109842849	-0.413206355	-0.0492472	-0.008438217	-0.572878447	0.43182981	0.161988997	-0.431770519	0.042283508	-0.165646501	0.757751142	0.512694019	-0.128084995	-0.181283282	-0.491593047	0.320682757	0.306190499	-0.983981728	0.422513145	-2.099292883	-0.039635367
3	7	-0.486647518	-0.903296741	0.536563246	-0.634878392	-1.525284095	-1.310897845	0.082193071	-0.478399236	-0.035250984	-0.040612341	-0.633188197	0.510780911	0.151153262	-0.514681419	0.091072445	-0.189052567	0.791351738	0.567533566	-0.084141917	-0.172240706	-0.533392995	0.330163795	0.334762328	-1.118176639	0.473777277	-2.1944811	-0.062561068
3.5	8	-0.576929686	-0.990085655	0.38916204	-0.739762712	-1.639095808	-1.429739983	0.056461752	-0.528495889	-0.006211054	-0.081533443	-0.672926317	0.604617641	0.117867592	-0.596582898	0.121549869	-0.205362386	0.758460825	0.609426001	0.000548382	-0.141104063	-0.543959964	0.330198669	0.368632574	-1.229554904	0.500150276	-2.212328444	-0.070452581
4	9	-0.66642331	-1.04655311	0.312678851	-0.839659517	-1.687438876	-1.505231679	0.040953845	-0.548911554	0.051075577	-0.125759838	-0.686545943	0.71322753	0.066428499	-0.68057513	0.128091045	-0.208677195	0.625180312	0.642963025	0.110562106	-0.102530919	-0.516728609	0.336629523	0.410185546	-1.32066897	0.50874053	-2.179032618	-0.062292086
4.5	10	-0.748515393	-1.089252463	0.261124554	-0.924430653	-1.697264321	-1.52535965	0.036098687	-0.542013576	0.155935841	-0.173449363	-0.669370661	0.844008286	-0.014533298	-0.773241675	0.116580661	-0.204276657	0.416352328	0.671557457	0.227626123	-0.071178841	-0.466749689	0.366364054	0.457836361	-1.394677524	0.509917353	-2.116867019	-0.037117409
5	11	-0.81659294	-1.134737069	0.232647585	-0.989113982	-1.681207275	-1.485633555	0.041466269	-0.517490187	0.272768854	-0.22557242	-0.632965452	0.99810061	-0.117127124	-0.883790509	0.085460799	-0.198391454	0.161942222	0.695401627	0.333467299	-0.061880124	-0.409601441	0.410236261	0.510000135	-1.454739254	0.514050055	-2.047762332	0.006033626
5.5	12	-0.864042956	-1.199805228	0.238050058	-1.0523795	-1.646003012	-1.416820183	0.056626584	-0.485029613	0.363240185	-0.283099411	-0.589311602	1.161407502	-0.209916184	-1.006263995	0.036192464	-0.197252271	-0.080936669	0.714686595	0.40981336	-0.087322119	-0.360842453	0.457721428	0.565091984	-1.503988738	0.531905563	-1.993649241	0.065886555
6	13	-0.885468919	-1.313184428	0.240216429	-1.133246558	-1.631080507	-1.350398371	0.07682748	-0.453820374	0.389015401	-0.342118208	-0.5503904	1.319772055	-0.261463684	-1.133762422	-0.02823734	-0.207893928	-0.241220977	0.729609527	0.451962652	-0.141093036	-0.330389429	0.502870138	0.622348166	-1.54046531	0.574720542	-1.952152031	0.13580348
6.5	14	-0.885356263	-1.469489102	0.236001783	-1.250350068	-1.621812133	-1.315890712	0.068140466	-0.429148456	0.306714553	-0.397423051	-0.520011291	1.472008454	-0.240273598	-1.257400981	-0.110320345	-0.238550353	-0.372413076	0.741957414	0.473644612	-0.212297709	-0.316901485	0.54081644	0.676253344	-1.5650533	0.633663733	-1.906394034	0.210438101
7	15	-0.872576315	-1.644957766	0.234117168	-1.397840712	-1.612274481	-1.317253802	0.026231694	-0.417105795	0.126118443	-0.480594235	-0.49018874	1.627566962	-0.136085716	-1.360239169	-0.201171443	-0.285551053	-0.510983154	0.75137655	0.484747063	-0.290040969	-0.317970619	0.564116102	0.717067981	-1.58322646	0.69500481	-1.865148485	0.284503189
7.5	16	-0.85601103	-1.81582894	0.228513052	-1.553633233	-1.607342681	-1.353085014	-0.047477482	-0.424228745	-0.108658715	-0.779116747	-0.455211565	1.752209152	0.01578004	-1.418477145	-0.291200654	-0.343358193	-0.647381731	0.755457622	0.495157828	-0.364212966	-0.33118883	0.565324891	0.735038625	-1.600458542	0.745013451	-1.837279809	0.352711516
8	17	-0.844542361	-1.958341142	0.213139904	-1.69555065	-1.611891864	-1.446995685	-0.154413048	-0.457053663	-0.353491721	-1.108230757	-0.409368582	1.855439086	0.174727104	-1.427960203	-0.370817997	-0.406433936	-0.735285044	0.751791316	0.51476473	-0.436347148	-0.35398953	0.536998575	0.720411823	-1.622223297	0.770034427	-1.831380183	0.412986505
8.5	18	-0.844961124	-2.066109322	0.182189986	-1.817413776	-1.630282588	-1.527231486	-0.295214784	-0.518467154	-0.56578625	-1.158390799	-0.347228865	1.885532451	0.300158911	-1.471412378	-0.440349686	-0.469465034	-0.756641066	0.737912244	0.550501552	-0.507151977	-0.382554638	0.475781664	0.665999089	-1.651922451	0.772089199	-1.843033286	0.4707083
9	19	-0.848471571	-2.152135037	0.14018937	-1.933315313	-1.65858854	-1.557073237	-0.42489148	-0.602116997	-0.748698343	-1.025644401	-0.274080762	1.853297585	0.367901114	-1.539725816	-0.507954106	-0.533003036	-0.738591273	0.708122082	0.592205904	-0.575180856	-0.414049448	0.390070223	0.579848102	-1.684388276	0.758160967	-1.867306619	0.526510177
9.5	20	-0.852878575	-2.21537879	0.091026682	-2.04387887	-1.694845451	-1.569683243	-0.480601854	-0.707963771	-0.910064512	-0.951989455	-0.195215201	1.675085729	0.406151122	-1.695684611	-0.573622282	-0.598609494	-0.682932033	0.659687249	0.637447487	-0.63898719	-0.445948998	0.280713277	0.463694847	-1.719050287	0.727255783	-1.90414698	0.580735077
10	21	-0.858371725	-2.25472113	0.034550967	-2.149602184	-1.739148601	-1.568945453	-0.483325781	-0.836440266	-1.045753524	-0.96879034	-0.1122173	1.349577061	0.416632217	-1.922509671	-0.63732979	-0.666594881	-0.590814374	0.592435368	0.685827332	-0.698347103	-0.475728327	0.14786312	0.3175158	-1.75608345	0.678379702	-1.953501169	0.633725945
