"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"V1" 0.816388256115198 1.26558003728023 1.52675612787675 1.50363582081166 1.40462704908899 1.48755349522154 1.78544591425985 2.12791690044576 2.58417699473231
"V2" 0.487507146108143 0.599316466152445 0.652139063458249 0.756459936875675 0.906221089409152 1.03285898312897 1.22487231109568 1.36725375105936 1.62297496788415
"V3" 0.175500034612598 0.301305416994755 0.450974892866151 0.672738809714974 0.995422079437395 1.3456096379746 1.6313775093966 1.64010309787449 1.69453456787102
"V4" 0.874943190358526 1.15087557226607 1.36559654532459 1.60143264980319 1.81567547425424 2.05198208438624 2.32126251351949 2.43940962431427 2.30018071706153
"V5" -0.549243800897518 -0.604647673808629 -0.4361763333937 -0.063996353460755 0.262412669993359 0.324155789870018 0.206375241190906 -0.0210752063591801 -0.145160799361042
"V6" -0.383322826246445 -0.53791286094185 -0.641642439185592 -0.669372367238139 -0.613355896594191 -0.42549212815118 -0.328656230586677 -0.0584847718243014 0.159100660028853
"V7" -0.558356685264626 -0.57945915948815 -0.587056195710346 -0.629525975198212 -0.646437870886507 -0.540482180400341 -0.204044601432966 -0.0583839477217129 0.0668493719672329
"V8" -0.33280329223257 -0.378195263720536 -0.476714492032074 -0.614515480740291 -0.764285497597472 -1.00798693949658 -1.45937984548393 -1.66648171221229 -1.80367044051153
"V9" 0.22498406145637 0.180323049070708 0.155775552907031 0.255248059556343 0.420765798459924 0.443549263399481 0.409121291738662 0.259779159394472 -0.063293804347103
"V10" 0.217004702241347 0.27946532528123 0.356229835270728 0.473941759261392 0.594615701550228 0.672640481889968 0.582982892874031 0.704483126575342 0.966496684057766
"V11" -0.171178250150267 -0.175905826410462 -0.162909098129049 -0.204766288158873 -0.239135443540145 -0.219995140628735 -0.119044072758907 0.0266987535445573 0.211761281242741
"V12" -0.282656874960459 -0.289823976623347 -0.333374920013909 -0.431922708720526 -0.398290487471668 -0.0826620785494571 0.178335164778232 0.463515444595131 0.52833183389381
"V13" 0.168085925336007 0.148983720819904 0.0104307973715895 -0.220855361749301 -0.359160898819081 -0.372816485098002 -0.356257114566273 -0.243720354319747 -0.116409413356655
"V14" -0.782656237188709 -0.880052096340053 -0.790589544248762 -0.624757915180199 -0.482249485297318 -0.349509492089856 -0.239767849221573 -0.215486034869772 -0.404497972819975
"V15" 0.749263377979579 0.914519219336351 0.901943871250327 0.799327099067014 0.713300265357017 0.656219744123074 0.59647834150804 0.420496052713121 0.141016294098128
"V16" 0.354230912998946 0.37118925746745 0.358988917572714 0.315668691307007 0.195192292938105 0.0791331619290404 0.0849421198919013 0.101200601257666 -0.0152530458040098
"V17" 0.0899031760014121 -0.0700061700575009 -0.262058389302923 -0.38125547563315 -0.396188230154542 -0.385339558536699 -0.348681777835453 -0.33034705007708 -0.296503728156724
"V18" -1.35387737257538 -1.51393331759118 -1.455941153697 -1.29967176757993 -1.21783904821415 -1.22700022328885 -1.16186706669275 -1.11502219570212 -1.14542805794519
"V19" -0.700157506197381 -1.07386032620275 -1.35545226626441 -1.5350552299097 -1.60761099939098 -1.54457568842508 -1.23165871543358 -1.23625134737906 -1.14929508536298
"V20" 0.155063207259983 0.186670592104325 0.129312628368725 -0.0148258687902136 -0.131872938006582 -0.154428021931481 0.0978928314272045 0.0761674214128405 0.00862506837085199
"V21" 0.321811048300642 0.536487044041397 0.728076086084641 0.863278086290506 0.98362881990979 1.11262028427827 1.4081966849207 1.45255082638009 1.44810039805751
"V22" 0.818580122350777 0.938444297545792 1.01343517287573 1.1389586827668 1.32315267987626 1.58658944150167 1.82730499506088 1.98161046484122 1.83837789522985
"V23" 0.928776511354259 1.05510618637332 0.98633806404107 0.849649294884172 0.784685861130287 0.74706394250766 0.715470510507219 0.733670228984162 0.938526858080045
"V24" 0.429027765107753 0.564784364562461 0.602475222914512 0.534430785959164 0.453764850146829 0.418317334857227 0.425165160346263 0.410438660475979 0.291556377908464
"V25" -0.939246209690336 -1.15218036541717 -1.1521196265116 -0.930562718683317 -0.714918794280642 -0.555531565789956 -0.397746900126341 -0.488530977227612 -0.686192657822352
"V26" 0.434848858229934 0.644905278510544 0.79492943988328 0.879961821233389 0.953262771078215 1.07046006024607 1.17592588053499 1.21656718024076 1.23672659832438
"V27" 0.51484525624033 0.68596247755684 0.815826260047998 0.891497792803183 0.984176487225703 1.19827619473714 1.50258867410037 1.52279981874034 1.34748611535615
